,bio_source,fold,nan_r2,masked_mse_loss,total_time(sec)
0,bio_source_3T3,0,0.3479109998281946,0.3171052956049286,10.1714985370636
1,bio_source_3T3,1,0.3538540304925833,0.3430652158956793,10.18260669708252
2,bio_source_3T3,2,0.3420658836943038,0.3461820113963489,9.74031376838684
3,bio_source_3T3,3,0.3507709793574264,0.3324068631830421,9.785010576248167
4,bio_source_3T3,4,0.3336664902746329,0.3576165536699012,9.746386289596558
5,bio_source_3T3,5,0.3746165472580315,0.3050345052718078,9.79058074951172
6,bio_source_3T3,6,0.3542137854919674,0.328543035711102,10.160070657730104
7,bio_source_3T3,7,0.3719589752513882,0.3230694720187457,9.734682321548462
8,bio_source_3T3,8,0.333500329441596,0.3067756820950427,9.833184003829956
9,bio_source_3T3,9,0.3455921643772683,0.3418609635084906,9.77505373954773
10,bio_source_3T3,mean,0.3508150185467393,0.3301659598355089,9.891938734054566
11,bio_source_4T1,0,0.3634446529602763,0.198439186018794,10.227478981018066
12,bio_source_4T1,1,0.4043916239429098,0.1973437675882093,9.713157176971436
13,bio_source_4T1,2,0.3918722028057038,0.1908527612630182,9.700478553771973
14,bio_source_4T1,3,0.3624011638339277,0.2133528920232949,9.767030000686646
15,bio_source_4T1,4,0.3829862345394517,0.2195714232122102,9.761688232421877
16,bio_source_4T1,5,0.414873329756703,0.2012578538442247,10.371995210647585
17,bio_source_4T1,6,0.4023734074165783,0.1954967941219828,9.76984405517578
18,bio_source_4T1,7,0.4158541337808191,0.1940151658159594,9.720482349395752
19,bio_source_4T1,8,0.3931394990385415,0.2101780372627988,9.756276845932009
20,bio_source_4T1,9,0.3698663831653398,0.211517508325343,9.724164962768556
21,bio_source_4T1,mean,0.3901202631240251,0.2032025389475835,9.851259636878968
22,bio_source_A3-1 mESC,0,0.3403343637011818,0.4502969634387814,10.092628479003906
23,bio_source_A3-1 mESC,1,0.3876866666372066,0.4240537823969171,9.67504596710205
24,bio_source_A3-1 mESC,2,0.3500009910325491,0.4363489422063867,9.717377185821531
25,bio_source_A3-1 mESC,3,0.315998314540149,0.487912986561648,9.712826251983644
26,bio_source_A3-1 mESC,4,0.3409124038393735,0.4497331461256488,10.16681146621704
27,bio_source_A3-1 mESC,5,0.3708116170505265,0.4722469964953352,9.79870080947876
