,bio_source,fold,nan_r2,masked_mse_loss,total_time(sec)
0,mean_te,0,0.5542801063470459,0.2106460457159214,471.32929396629333
1,mean_te,1,0.6074623827054353,0.18565391440997098,475.1702768802643
2,mean_te,2,0.5581192316316801,0.21759989090412374,487.3581655025482
3,mean_te,3,0.6126053633446491,0.1875578853108013,502.97422909736633
4,mean_te,4,0.6160780202630134,0.18607704871937572,485.619912147522
5,mean_te,5,0.5908587841938899,0.19199304186176144,500.6122841835022
6,mean_te,6,0.6108751339260368,0.18807142295698606,462.5273745059967
7,mean_te,7,0.5879456722198971,0.18455780281883766,495.99868845939636
8,mean_te,8,0.5795208484302697,0.18414738137219905,489.4409694671631
9,mean_te,9,0.591139071526048,0.19309820144026216,512.0722904205322
10,mean_te,mean,0.5908884614587965,0.19294026355102395,488.31034846305846
