,bio_source,fold,nan_r2,masked_mse_loss,total_time(sec)
0,mean_te,0,0.6257930108924252,0.17684923571337455,6.228916883468628
1,mean_te,1,0.6506875579582238,0.16521021007904266,6.261221170425415
2,mean_te,2,0.6150880413193522,0.1895461541036969,6.213256359100342
3,mean_te,3,0.6675141587347039,0.16097368260413253,6.205928325653076
4,mean_te,4,0.6560806502161367,0.16668880914062106,6.3539769649505615
5,mean_te,5,0.6346329843160581,0.17145162116924603,6.187340021133423
6,mean_te,6,0.6475553412324664,0.1703431835564071,6.270961046218872
7,mean_te,7,0.6388451279089153,0.16176010097877078,6.205363988876343
8,mean_te,8,0.6349972569319482,0.15985168129912578,6.3166823387146
9,mean_te,9,0.6716245612961551,0.15508624619021083,6.211989164352417
10,mean_te,mean,0.6442818690806384,0.1677760924834628,6.245563626289368
