,bio_source,fold,nan_r2,masked_mse_loss,total_time(sec)
0,mean_te,0,0.5358686346390744,0.21934725866674942,5.471001148223877
1,mean_te,1,0.5872243902252399,0.19522564042604956,5.31800103187561
2,mean_te,2,0.5465835445392169,0.22328052792775593,5.337000370025635
3,mean_te,3,0.5838150963174236,0.20149675046335053,5.308999061584473
4,mean_te,4,0.6063449971436428,0.19079439316110497,5.443998098373413
5,mean_te,5,0.5871540246351301,0.19373153221563927,5.411000967025757
6,mean_te,6,0.5919309090427676,0.19722752589782552,5.524998903274536
7,mean_te,7,0.5563874347915745,0.1986926354560394,5.475000619888306
8,mean_te,8,0.5749520204208154,0.18614828370169645,5.418997764587402
9,mean_te,9,0.5741190652880643,0.20113646668933716,5.5380003452301025
10,mean_te,mean,0.5744380117042949,0.20070810146055482,5.424699831008911
